"DATE","B1617","CSUM"
"2020-12-15",0,0
"2020-12-16",0,0
"2020-12-17",0,0
"2020-12-18",0,0
"2020-12-19",0,0
"2020-12-20",0,0
"2020-12-21",0,0
"2020-12-22",0,0
"2020-12-23",0,0
"2020-12-24",0,0
"2020-12-25",0,0
"2020-12-26",0,0
"2020-12-27",0,0
"2020-12-28",0,0
"2020-12-29",0,0
"2020-12-30",0,0
"2020-12-31",0,0
"2021-01-01",0,0
"2021-01-02",0,0
"2021-01-03",0,0
"2021-01-04",0,0
"2021-01-05",0,0
"2021-01-06",0,0
"2021-01-07",0,0
"2021-01-08",0,0
"2021-01-09",0,0
"2021-01-10",0,0
"2021-01-11",0,0
"2021-01-12",0,0
"2021-01-13",0,0
"2021-01-14",0,0
"2021-01-15",0,0
"2021-01-16",0,0
"2021-01-17",0,0
"2021-01-18",0,0
"2021-01-19",0,0
"2021-01-20",0,0
"2021-01-21",0,0
"2021-01-22",0,0
"2021-01-23",0,0
"2021-01-24",0,0
"2021-01-25",0,0
"2021-01-26",0,0
"2021-01-27",0,0
"2021-01-28",0,0
"2021-01-29",0,0
"2021-01-30",0,0
"2021-01-31",0,0
"2021-02-01",0,0
"2021-02-02",0,0
"2021-02-03",0,0
"2021-02-04",0,0
"2021-02-05",0,0
"2021-02-06",0,0
"2021-02-07",0,0
"2021-02-08",0,0
"2021-02-09",0,0
"2021-02-10",0,0
"2021-02-11",0,0
"2021-02-12",0,0
"2021-02-13",0,0
"2021-02-14",0,0
"2021-02-15",0,0
"2021-02-16",0,0
"2021-02-17",0,0
"2021-02-18",0,0
"2021-02-19",0,0
"2021-02-20",0,0
"2021-02-21",0,0
"2021-02-22",0,0
"2021-02-23",0,0
"2021-02-24",0,0
"2021-02-25",0,0
"2021-02-26",0,0
"2021-02-27",0,0
"2021-02-28",0,0
"2021-03-01",0,0
"2021-03-02",0,0
"2021-03-03",0,0
"2021-03-04",0,0
"2021-03-05",0,0
"2021-03-06",0,0
"2021-03-07",0,0
"2021-03-08",0,0
"2021-03-09",0,0
"2021-03-10",0,0
"2021-03-11",0,0
"2021-03-12",0,0
"2021-03-13",0,0
"2021-03-14",0,0
"2021-03-15",0,0
"2021-03-16",0,0
"2021-03-17",0,0
"2021-03-18",0,0
"2021-03-19",0,0
"2021-03-20",0,0
"2021-03-21",0,0
"2021-03-22",0,0
"2021-03-23",0,0
"2021-03-24",1,1
"2021-03-25",0,1
"2021-03-26",0,1
"2021-03-27",0,1
"2021-03-28",0,1
"2021-03-29",0,1
"2021-03-30",0,1
"2021-03-31",0,1
"2021-04-01",0,1
"2021-04-02",0,1
"2021-04-03",0,1
"2021-04-04",0,1
"2021-04-05",0,1
"2021-04-06",0,1
"2021-04-07",0,1
"2021-04-08",1,2
"2021-04-09",1,3
"2021-04-10",1,4
"2021-04-11",1,5
"2021-04-12",0,5
"2021-04-13",0,5
"2021-04-14",1,6
"2021-04-15",2,8
"2021-04-16",2,10
"2021-04-17",1,11
"2021-04-18",0,11
"2021-04-19",0,11
"2021-04-20",0,11
"2021-04-21",1,12
"2021-04-22",0,12
"2021-04-23",1,13
"2021-04-24",0,13
"2021-04-25",0,13
"2021-04-26",1,14
"2021-04-27",1,15
"2021-04-28",2,17
"2021-04-29",2,19
"2021-04-30",3,22
"2021-05-01",4,26
"2021-05-02",3,29
"2021-05-03",1,30
"2021-05-04",0,30
"2021-05-05",1,31
"2021-05-06",0,31
"2021-05-07",1,32
"2021-05-08",0,32
"2021-05-09",0,32
"2021-05-10",0,32
"2021-05-11",0,32
"2021-05-12",0,32
"2021-05-13",2,34
"2021-05-14",1,35
"2021-05-15",2,37
"2021-05-16",3,40
"2021-05-17",3,43
"2021-05-18",0,43
"2021-05-19",0,43
"2021-05-20",0,43
"2021-05-21",0,43
"2021-05-22",0,43
"2021-05-23",0,43
"2021-05-24",0,43
"2021-05-25",0,43
"2021-05-26",0,43
"2021-05-27",0,43
"2021-05-28",0,43
"2021-05-29",0,43
